x,y,xy,longitude,latitude
hr,231,hr231,-146.7233302,59.76272401
hr,233,hr233,-146.493774,59.88421411
hr,235,hr235,-146.2642178,60.0052617
hr,237,hr237,-146.0346615,60.12586788
hr,239,hr239,-145.8051053,60.2460337
hr,241,hr241,-145.5755491,60.36576026
ht,121,ht121,-158.1379869,52.8792685
ht,123,ht123,-157.9389688,53.0056489
ht,125,ht125,-157.7399506,53.13166037
ht,127,ht127,-157.5409324,53.25730338
ht,129,ht129,-157.3419142,53.38257841
ht,131,ht131,-157.142896,53.50748594
ht,133,ht133,-156.9438779,53.63202645
